custom_id,group
783--O1-normal-ERX4598338-pe,normal-old
783--O1-normal-ERX4598339-pe,normal-old
783--O2-normal-ERX4598340-pe,normal-old
783--O2-normal-ERX4598341-pe,normal-old
783--O3-normal-ERX4598342-pe,normal-old
783--O3-normal-ERX4598343-pe,normal-old
783--Y1-normal-ERX4598344-pe,normal-young
783--Y1-normal-ERX4598345-pe,normal-young
783--Y2-normal-ERX4598346-pe,normal-young
783--Y2-normal-ERX4598347-pe,normal-young
783--Y3-normal-ERX4598348-pe,normal-young
783--Y3-normal-ERX4598349-pe,normal-young
