custom_id,group
896--A1-adenoma_pre-lesion-ERX10332595-pe,adenoma_pre-lesion
896--A5-adenoma_norm-adj-ERX10332596-pe,adenoma_norm-adj
896--S10-polyp_norm-adj-ERX10332597-pe,polyp_norm-adj
896--S11-polyp_pre-lesion-ERX10332598-pe,polyp_pre-lesion
896--S11-polyp_norm-adj-ERX10332599-pe,polyp_norm-adj
896--S12-polyp_pre-lesion-ERX10332600-pe,polyp_pre-lesion
896--S12-polyp_norm-adj-ERX10332601-pe,polyp_norm-adj
896--S13-polyp_pre-lesion-ERX10332602-pe,polyp_pre-lesion
896--S13-polyp_norm-adj-ERX10332603-pe,polyp_norm-adj
896--S14-polyp_pre-lesion-ERX10332604-pe,polyp_pre-lesion
896--S14-polyp_norm-adj-ERX10332605-pe,polyp_norm-adj
896--S15-polyp_pre-lesion-ERX10332606-pe,polyp_pre-lesion
896--A6-adenoma_pre-lesion-ERX10332607-pe,adenoma_pre-lesion
896--S15-polyp_norm-adj-ERX10332608-pe,polyp_norm-adj
896--S16-polyp_pre-lesion-ERX10332609-pe,polyp_pre-lesion
896--S16-polyp_norm-adj-ERX10332610-pe,polyp_norm-adj
896--S17-polyp_pre-lesion-ERX10332611-pe,polyp_pre-lesion
896--S17-polyp_norm-adj-ERX10332612-pe,polyp_norm-adj
896--S18-polyp_pre-lesion-ERX10332613-pe,polyp_pre-lesion
896--S18-polyp_norm-adj-ERX10332614-pe,polyp_norm-adj
896--S19-polyp_pre-lesion-ERX10332615-pe,polyp_pre-lesion
896--S19-polyp_norm-adj-ERX10332616-pe,polyp_norm-adj
896--A6-adenoma_norm-adj-ERX10332617-pe,adenoma_norm-adj
896--A7-adenoma_pre-lesion-ERX10332618-pe,adenoma_pre-lesion
896--A7-adenoma_norm-adj-ERX10332619-pe,adenoma_norm-adj
896--A8-adenoma_pre-lesion-ERX10332620-pe,adenoma_pre-lesion
896--A8-adenoma_norm-adj-ERX10332621-pe,adenoma_norm-adj
896--A9-adenoma_pre-lesion-ERX10332622-pe,adenoma_pre-lesion
896--A9-adenoma_norm-adj-ERX10332623-pe,adenoma_norm-adj
896--A10-adenoma_pre-lesion-ERX10332624-pe,adenoma_pre-lesion
896--A1-adenoma_norm-adj-ERX10332625-pe,adenoma_norm-adj
896--A10-adenoma_norm-adj-ERX10332626-pe,adenoma_norm-adj
896--A11-adenoma_pre-lesion-ERX10332627-pe,adenoma_pre-lesion
896--A11-adenoma_norm-adj-ERX10332628-pe,adenoma_norm-adj
896--A12-adenoma_pre-lesion-ERX10332629-pe,adenoma_pre-lesion
896--A12-adenoma_norm-adj-ERX10332630-pe,adenoma_norm-adj
896--A13-adenoma_pre-lesion-ERX10332631-pe,adenoma_pre-lesion
896--A13-adenoma_norm-adj-ERX10332632-pe,adenoma_norm-adj
896--A14-adenoma_pre-lesion-ERX10332633-pe,adenoma_pre-lesion
896--A14-adenoma_norm-adj-ERX10332634-pe,adenoma_norm-adj
896--A15-adenoma_pre-lesion-ERX10332635-pe,adenoma_pre-lesion
896--A2-adenoma_pre-lesion-ERX10332636-pe,adenoma_pre-lesion
896--A15-adenoma_norm-adj-ERX10332637-pe,adenoma_norm-adj
896--A16-adenoma_pre-lesion-ERX10332638-pe,adenoma_pre-lesion
